"rank","usps","pop2020","pop2010","change","density","aland"
"176","TX","153973","128980","0.1938","1089.9200","141270000"
"177","KS","153600","145883","0.0529","475.1461","323269000"
"178","GA","152519","155810","-0.0211","236.1198","645939000"
"179","CA","152427","140465","0.0852","2671.4677","57057400"
"180","CA","152405","149083","0.0223","2560.4044","59523800"
"181","CA","152245","144437","0.0541","1575.3226","96643700"
"182","TX","151891","149529","0.0158","1345.5137","112887000"
"183","TN","151066","109524","0.3793","945.1904","159826000"
"184","IL","149196","142388","0.0478","1484.2419","100520000"
"185","IL","148227","147654","0.0039","892.1115","166153000"
"186","NJ","145871","146397","-0.0036","6694.3704","21790100"
"187","GA","145754","137492","0.0601","541.5828","269126000"
"188","IL","145020","153148","-0.0531","869.7373","166740000"
"189","TX","145012","111284","0.3031","752.7186","192651000"
"190","TX","144279","132123","0.0920","847.9119","170158000"
"191","TX","144015","125409","0.1484","625.7821","230136000"
"192","CA","143921","119795","0.2014","1260.6624","114163000"
"193","CA","143912","145183","-0.0088","2707.6423","53150300"
"194","CO","143890","119391","0.2052","1547.9067","92957800"
"195","LA","143481","138481","0.0361","2381.8346","60239700"
"196","FL","143219","122299","0.1711","1916.5245","74728500"
"197","CT","143010","144858","-0.0128","3437.1868","41606700"
"198","KS","142841","126249","0.1314","894.7078","159651000"
"199","TX","142173","117058","0.2146","570.4032","249250000"
"200","AZ","142049","117674","0.2071","507.5299","279883000"
